smiles,troglitazone-rediscovery
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,1.0
Cc1c(C)c2c(c(C)c1O)OC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)CC2,0.9545454545454546
Cc1c(C)c(O)c2c(c1C)OC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)CC2,0.9325842696629213
Cc1c(C)c2c(c(C)c1O)CCCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9230769230769231
Cc1c(C)c(O)c2c(c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9111111111111111
Cc1c2c(c(C)c(O)c(=[SeH9+33])c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9032258064516129
Cc1c2c(c(C)c(O)c(=[SeH6+96])c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9032258064516129
Cc1c2c(c(C)c(O)c(=[SeH6+59])c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9032258064516129
Cc1c2c(c(C)c(O)c(=[SeH5+103])c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9032258064516129
Cc1c2c(c(C)c(O)c(=[SeH2+61])c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9032258064516129
Cc1c2c(c(C)c(O)c(=[SeH2+35])c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9032258064516129
Cc1c2c(c(C)c(O)c(=[SH7+54])c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9032258064516129
Cc1c2c(c(C)c(O)c(=[SH7+47])c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9032258064516129
Cc1c2c(c(C)c(O)c(=[SH2+21])c1C)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,0.9032258064516129
